>index	chr	ext_probe_start	ext_probe_stop	lig_probe_start	lig_probe_stop
600	chr6	7577428	7577449	7577298	7577320
601	chr6	7577533	7577553	7577402	7577425
602	chr6	7577512	7577531	7577639	7577663
603	chr6	7577794	7577813	7577662	7577686
604	chr6	7577878	7577897	7577746	7577770
605	chr6	7577960	7577980	7577829	7577852
606	chr6	7577939	7577959	7578067	7578090
607	chr6	7578169	7578188	7578037	7578061
608	chr6	7578270	7578289	7578138	7578162
609	chr6	7578372	7578392	7578241	7578264
610	chr6	7578351	7578371	7578479	7578502
611	chr6	7578427	7578448	7578556	7578578
612	chr6	7578659	7578680	7578529	7578551
613	chr6	7578628	7578648	7578756	7578779
614	chr6	7578861	7578880	7578729	7578753
615	chr6	7578815	7578835	7578943	7578966
616	chr6	7578905	7578924	7579032	7579056
617	chr6	7578996	7579015	7579123	7579147
618	chr6	7579270	7579289	7579138	7579162
618	chr6	7579270	7579289	7579138	7579162
619	chr6	7579240	7579259	7579367	7579391
620	chr6	7579332	7579351	7579459	7579483
621	chr6	7579414	7579435	7579543	7579565
622	chr6	7579650	7579670	7579519	7579542
623	chr6	7579630	7579649	7579757	7579781
624	chr6	7579736	7579756	7579864	7579887
625	chr6	7579971	7579991	7579840	7579863
626	chr6	7580078	7580098	7579947	7579970
627	chr6	7580058	7580077	7580185	7580209
628	chr6	7580291	7580311	7580160	7580183
629	chr6	7580398	7580418	7580267	7580290
630	chr6	7580482	7580501	7580350	7580374
631	chr6	7580461	7580481	7580589	7580612
632	chr6	7580696	7580716	7580565	7580588
633	chr6	7580676	7580695	7580803	7580827
634	chr6	7580910	7580930	7580779	7580802
635	chr6	7581017	7581037	7580886	7580909
636	chr6	7581108	7581127	7580976	7581000
637	chr6	7581215	7581235	7581084	7581107
638	chr6	7581303	7581323	7581172	7581195
639	chr6	7581255	7581276	7581384	7581406
640	chr6	7581357	7581377	7581485	7581508
641	chr6	7581592	7581611	7581460	7581484
642	chr6	7581699	7581719	7581568	7581591
643	chr6	7581679	7581698	7581806	7581830
644	chr6	7581759	7581778	7581886	7581910
645	chr6	7581866	7581885	7581993	7582017
646	chr6	7582073	7582094	7581943	7581965
647	chr6	7582041	7582062	7582170	7582192
648	chr6	7582131	7582150	7582258	7582282
649	chr6	7582365	7582384	7582233	7582257
650	chr6	7582345	7582364	7582472	7582496
651	chr6	7582441	7582460	7582568	7582592
652	chr6	7582536	7582556	7582664	7582687
653	chr6	7582747	7582767	7582616	7582639
654	chr6	7582851	7582870	7582719	7582743
655	chr6	7582936	7582956	7582805	7582828
656	chr6	7583043	7583063	7582912	7582935
657	chr6	7583022	7583042	7583150	7583173
658	chr6	7583257	7583277	7583126	7583149
659	chr6	7583364	7583384	7583233	7583256
660	chr6	7583441	7583460	7583309	7583333
661	chr6	7583419	7583440	7583548	7583570
662	chr6	7583527	7583547	7583655	7583678
663	chr6	7583757	7583776	7583625	7583649
664	chr6	7583736	7583756	7583864	7583887
665	chr6	7583947	7583968	7583817	7583839
666	chr6	7584054	7584074	7583923	7583946
667	chr6	7584034	7584053	7584161	7584185
668	chr6	7584268	7584288	7584137	7584160
669	chr6	7584375	7584394	7584243	7584267
670	chr6	7584355	7584374	7584482	7584506
671	chr6	7584585	7584605	7584454	7584477
672	chr6	7584563	7584584	7584692	7584714
673	chr6	7584671	7584691	7584799	7584822
674	chr6	7584777	7584796	7584904	7584928
675	chr6	7584883	7584903	7585011	7585034
676	chr6	7584990	7585010	7585118	7585141
677	chr6	7585096	7585116	7585224	7585247
678	chr6	7585203	7585223	7585331	7585354
679	chr6	7585310	7585330	7585438	7585461
680	chr6	7585397	7585416	7585524	7585548
681	chr6	7585501	7585521	7585629	7585652
682	chr6	7585736	7585756	7585605	7585628
683	chr6	7585686	7585707	7585815	7585837
684	chr6	7585922	7585943	7585792	7585814
685	chr6	7586200	7586221	7586070	7586092
686	chr6	7586277	7586297	7586146	7586169
686	chr6	7586277	7586297	7586146	7586169
687	chr6	7586230	7586250	7586358	7586381
688	chr6	7586311	7586332	7586440	7586462
689	chr6	7586545	7586566	7586415	7586437
690	chr6	7586516	7586535	7586643	7586667
691	chr6	7586748	7586768	7586617	7586640
692	chr6	7586831	7586850	7586699	7586723
693	chr6	7586835	7586854	7586962	7586986
694	chr6	7587041	7587061	7586910	7586933
695	chr6	7587019	7587040	7587148	7587170
696	chr6	7587122	7587143	7587251	7587273
697	chr6	7587230	7587250	7587358	7587381
698	chr6	7587465	7587484	7587333	7587357
699	chr6	7587445	7587464	7587572	7587596
700	chr6	7587522	7587541	7587649	7587673
701	chr6	7587629	7587648	7587756	7587780
702	chr6	7587735	7587755	7587863	7587886
703	chr6	7587836	7587855	7587963	7587987
704	chr6	7588068	7588089	7587938	7587960
705	chr6	7588165	7588186	7588035	7588057
706	chr6	7588272	7588293	7588142	7588164
707	chr6	7588251	7588271	7588379	7588402
708	chr6	7588459	7588479	7588328	7588351
709	chr6	7588566	7588587	7588436	7588458
710	chr6	7588669	7588690	7588539	7588561
711	chr6	7588687	7588707	7588815	7588838
712	chr6	7588891	7588910	7588759	7588783
713	chr6	7588992	7589012	7588861	7588884
714	chr6	7588942	7588963	7589071	7589093
715	chr6	7589177	7589196	7589045	7589069
716	chr6	7589156	7589176	7589284	7589307
717	chr6	7589391	7589412	7589261	7589283
718	chr6	7589496	7589517	7589366	7589388
719	chr6	7589452	7589472	7589580	7589603
720	chr6	7589686	7589706	7589555	7589578
721	chr6	7589665	7589685	7589793	7589816
722	chr6	7589879	7589898	7589747	7589771
723	chr6	7589847	7589867	7589975	7589998
724	chr6	7590064	7590084	7589933	7589956
725	chr6	7590149	7590170	7590019	7590041
726	chr6	7590128	7590148	7590256	7590279
727	chr6	7590348	7590368	7590217	7590240
728	chr6	7590300	7590319	7590427	7590451
729	chr6	7590889	7590908	7591016	7591040
730	chr6	7591123	7591144	7590993	7591015
731	chr6	7591217	7591238	7591087	7591109
732	chr6	7591324	7591343	7591192	7591216
733	chr6	7591430	7591451	7591300	7591322
734	chr6	7591531	7591550	7591399	7591423
735	chr6	7591613	7591634	7591483	7591505
736	chr6	7591702	7591722	7591571	7591594
737	chr6	7591681	7591701	7591809	7591832
738	chr6	7591761	7591780	7591888	7591912
739	chr6	7591858	7591878	7591986	7592009
740	chr6	7591961	7591980	7592088	7592112
741	chr6	7592066	7592087	7592195	7592217
742	chr6	7592297	7592317	7592166	7592189
743	chr6	7592404	7592424	7592273	7592296
744	chr6	7592486	7592506	7592355	7592378
745	chr6	7592437	7592458	7592566	7592588
746	chr6	7592518	7592537	7592645	7592669
747	chr6	7592749	7592768	7592617	7592641
748	chr6	7592729	7592748	7592856	7592880
749	chr6	7592963	7592982	7592831	7592855
750	chr6	7592941	7592960	7593068	7593092
751	chr6	7593168	7593189	7593038	7593060
752	chr6	7593246	7593265	7593114	7593138
752	chr6	7593246	7593265	7593114	7593138
753	chr6	7593209	7593228	7593336	7593360
754	chr6	7593429	7593449	7593298	7593321
755	chr6	7593407	7593428	7593536	7593558
756	chr6	7593515	7593535	7593643	7593666
757	chr6	7593748	7593768	7593617	7593640
758	chr6	7593712	7593732	7593840	7593863
759	chr6	7593819	7593838	7593946	7593970
760	chr6	7593894	7593915	7594023	7594045
761	chr6	7594118	7594138	7593987	7594010
761	chr6	7594118	7594138	7593987	7594010
762	chr6	7594203	7594224	7594073	7594095
763	chr6	7594310	7594329	7594178	7594202
764	chr6	7594358	7594377	7594485	7594509
765	chr6	7594461	7594482	7594590	7594612
766	chr6	7594697	7594717	7594566	7594589
767	chr6	7594802	7594823	7594672	7594694
768	chr6	7594904	7594925	7594774	7594796
769	chr6	7594855	7594876	7594984	7595006
770	chr6	7594952	7594971	7595079	7595103
771	chr6	7595176	7595197	7595046	7595068
772	chr6	7595277	7595296	7595145	7595169
773	chr6	7595384	7595403	7595252	7595276
774	chr6	7595468	7595489	7595338	7595360
775	chr6	7595439	7595460	7595568	7595590
776	chr6	7595543	7595562	7595670	7595694
777	chr6	7595761	7595781	7595630	7595653
778	chr6	7595718	7595739	7595847	7595869
779	chr6	7595954	7595973	7595822	7595846
780	chr6	7596059	7596078	7595927	7595951
781	chr6	7596023	7596042	7596150	7596174
782	chr6	7596257	7596278	7596127	7596149
783	chr6	7596390	7596411	7596260	7596282
784	chr6	7596497	7596517	7596366	7596389
785	chr6	7596494	7596515	7596623	7596645
786	chr6	7596729	7596750	7596599	7596621
787	chr6	7596708	7596728	7596836	7596859
788	chr6	7596941	7596961	7596810	7596833
789	chr6	7596917	7596937	7597045	7597068
790	chr6	7597002	7597021	7597129	7597153
791	chr6	7597207	7597226	7597075	7597099
792	chr6	7597302	7597321	7597170	7597194
793	chr6	7597252	7597271	7597379	7597403
794	chr6	7597359	7597378	7597486	7597510
795	chr6	7597435	7597456	7597564	7597586
796	chr6	7597523	7597543	7597651	7597674
797	chr6	7597748	7597769	7597618	7597640
798	chr6	7597846	7597865	7597714	7597738
799	chr6	7597941	7597961	7597810	7597833
800	chr6	7598057	7598076	7598184	7598208
801	chr6	7598291	7598312	7598161	7598183
802	chr6	7598398	7598418	7598267	7598290
803	chr6	7598381	7598402	7598510	7598532
804	chr6	7598588	7598607	7598456	7598480
805	chr6	7598704	7598724	7598573	7598596
806	chr6	7598808	7598827	7598676	7598700
807	chr6	7598885	7598904	7598753	7598777
807	chr6	7598885	7598904	7598753	7598777
808	chr6	7598968	7598987	7598836	7598860
809	chr6	7598917	7598938	7599046	7599068
810	chr6	7599019	7599038	7599146	7599170
811	chr6	7599234	7599254	7599103	7599126
812	chr6	7599334	7599354	7599203	7599226
813	chr6	7599304	7599324	7599432	7599455
814	chr6	7599407	7599428	7599536	7599558
815	chr6	7599622	7599641	7599490	7599514
816	chr6	7599700	7599720	7599569	7599592
817	chr6	7599674	7599693	7599801	7599825
818	chr6	7599764	7599783	7599891	7599915
819	chr6	7599969	7599988	7599837	7599861
820	chr6	7600181	7600200	7600049	7600073
821	chr6	7600404	7600423	7600272	7600296
822	chr6	7600359	7600379	7600487	7600510
823	chr6	7600443	7600462	7600570	7600594
824	chr6	7600548	7600568	7600676	7600699
825	chr6	7600642	7600663	7600771	7600793
826	chr6	7600748	7600769	7600877	7600899
827	chr6	7600984	7601004	7600853	7600876
828	chr6	7601068	7601088	7600937	7600960
829	chr6	7601147	7601167	7601016	7601039
830	chr6	7601254	7601273	7601122	7601146
831	chr6	7601204	7601225	7601333	7601355
832	chr6	7601613	7601634	7601483	7601505
833	chr6	7601700	7601719	7601568	7601592
834	chr6	7601777	7601797	7601646	7601669
835	chr6	7601756	7601775	7601883	7601907
836	chr6	7601846	7601865	7601973	7601997
837	chr6	7602066	7602085	7601934	7601958
838	chr6	7602173	7602193	7602042	7602065
839	chr6	7602280	7602300	7602149	7602172
840	chr6	7602377	7602396	7602245	7602269
841	chr6	7602357	7602376	7602484	7602508
842	chr6	7602585	7602604	7602453	7602477
843	chr6	7602674	7602695	7602544	7602566
844	chr6	7602644	7602663	7602771	7602795
845	chr6	7602884	7602904	7602753	7602776
846	chr6	7602991	7603010	7602859	7602883
847	chr6	7602962	7602981	7603089	7603113
848	chr6	7603053	7603072	7603180	7603204
849	chr6	7603282	7603301	7603150	7603174
850	chr6	7603248	7603269	7603377	7603399
851	chr6	7603331	7603352	7603460	7603482
852	chr6	7603537	7603556	7603405	7603429
853	chr6	7603490	7603510	7603618	7603641
854	chr6	7603696	7603716	7603565	7603588
854	chr6	7603696	7603716	7603565	7603588
855	chr6	7603664	7603685	7603793	7603815
856	chr6	7603874	7603895	7603744	7603766
857	chr6	7603981	7604000	7603849	7603873
858	chr6	7604084	7604105	7603954	7603976
859	chr6	7604181	7604201	7604050	7604073
860	chr6	7604277	7604296	7604145	7604169
861	chr6	7604384	7604403	7604252	7604276
862	chr6	7604362	7604382	7604490	7604513
863	chr6	7604453	7604473	7604581	7604604
864	chr6	7604674	7604694	7604543	7604566
865	chr6	7604653	7604673	7604781	7604804
866	chr6	7604755	7604774	7604882	7604906
867	chr6	7604835	7604854	7604962	7604986
868	chr6	7605040	7605061	7604910	7604932
869	chr6	7605002	7605023	7605131	7605153
870	chr6	7605213	7605233	7605082	7605105
871	chr6	7605177	7605196	7605304	7605328
872	chr6	7605274	7605295	7605403	7605425
873	chr6	7605484	7605504	7605353	7605376
874	chr6	7605464	7605483	7605591	7605615
875	chr6	7605696	7605717	7605566	7605588
876	chr6	7605803	7605823	7605672	7605695
877	chr6	7605881	7605901	7605750	7605773
878	chr6	7605859	7605880	7605988	7606010
879	chr6	7605964	7605983	7606091	7606115
880	chr6	7606069	7606090	7606198	7606220
881	chr6	7606305	7606325	7606174	7606197
882	chr6	7606284	7606304	7606412	7606435
883	chr6	7606370	7606390	7606498	7606521
884	chr6	7606605	7606624	7606473	7606497
885	chr6	7606581	7606600	7606708	7606732
886	chr6	7606812	7606831	7606680	7606704
887	chr6	7606786	7606805	7606913	7606937
888	chr6	7606819	7606839	7606947	7606970
